photo_id,filename,sha256,bytes,family,duplicate_group,historical_role,visible_page_label,classification_status,promotion_authorized,document_group_v2,document_identity_v2,document_title_v2,group_confidence_v2,technical_topics_v2,page_identity_state_v2,independent_evidence_unit,promotion_authorized_v2
N12-PHOTO-001,1788939776258.jpg,abac9105790d675435c0d0a8629c712cc43d79d3ea7a0a153a5c4b2f0c6517a2,125980,PLAN_OR_FRAME_LAYOUT,,,,FAMILY_CLASSIFIED,NO,DG-PLAN-3,PAGE_TO_VERIFY,Pianta/Schema evidenziato,MEDIUM,pianta; appunti; telai; quote,TO_VERIFY,DG-PLAN-3,NO
N12-PHOTO-002,1788939776277.jpg,369cf287945da494c2259c0455f8d07466ecda9f8499e4055381d1c0292b7f29,146203,PLAN_OR_FRAME_LAYOUT,,,,FAMILY_CLASSIFIED,NO,DG-PLAN-3,PAGE_TO_VERIFY,Pianta/Schema evidenziato,MEDIUM,pianta; appunti; telai; quote,TO_VERIFY,DG-PLAN-3,NO
N12-PHOTO-003,1788939776294.jpg,d89db84946ccd60bc62bf6da81f18b5491dbc36bd82874d51d708ab7db4d77fb,181955,PLAN_OR_FRAME_LAYOUT,DG-11,,,FAMILY_CLASSIFIED,NO,DG-PLAN-3,PAGE_TO_VERIFY,Pianta/Schema evidenziato,MEDIUM,pianta; appunti; telai; quote,TO_VERIFY,DG-PLAN-3,NO
N12-PHOTO-004,1788939776314.jpg,464c3a6deb83207d1fb7adac79d778a438e106df08661baac5b82147d626e339,183997,PLAN_OR_FRAME_LAYOUT,DG-11,,,FAMILY_CLASSIFIED,NO,DG-PLAN-3,PAGE_TO_VERIFY,Pianta/Schema evidenziato,MEDIUM,pianta; appunti; telai; quote,TO_VERIFY,DG-PLAN-3,NO
N12-PHOTO-005,1788939776336.jpg,65501054c19a1f5e8c5fa5cd62bd3ff4de825db7c2a53709a98b3a21f10aea50,162516,CALCULATION_SHEET,DG-12,,,FAMILY_CLASSIFIED,NO,DG-RCP13,RC-P13,Telaio 5 — calcolo carichi/sezioni,HIGH,Telaio 5; sezioni 25x70 e 140x20; carichi lineari; tratti numerati,VERIFIED,DG-RCP13,NO
N12-PHOTO-006,1788939776361.jpg,899f5236111e8c9689fafdf1e45c2be6660ce6675056e4293fde7187411b3753,179848,CALCULATION_SHEET,DG-12,,,FAMILY_CLASSIFIED,NO,DG-RCP13,RC-P13,Telaio 5 — calcolo carichi/sezioni,HIGH,Telaio 5; sezioni 25x70 e 140x20; carichi lineari; tratti numerati,VERIFIED,DG-RCP13,NO
N12-PHOTO-007,1788939776381.jpg,5ca7a2683b9a47c9da110c57b1f074d66b7c76d4dc0c6e48f8090ca32ff3c970,166753,CALCULATION_SHEET,,,,FAMILY_CLASSIFIED,NO,DG-RCP13,RC-P13,Telaio 5 — calcolo carichi/sezioni,HIGH,Telaio 5; sezioni 25x70 e 140x20; carichi lineari; tratti numerati,VERIFIED,DG-RCP13,NO
N12-PHOTO-008,1788939776403.jpg,34b80e6106d0714b9d95d6d410997a8c4241e1cd8df85474a0ba24cae234e267,138675,FRAME_DIAGRAM,,,,FAMILY_CLASSIFIED,NO,DG-RCP10,RC-P10,Telaio 5 — schema geometrico,HIGH,Telaio 5; nodi 1-43; campate; livelli; G5 truncation,VERIFIED,DG-RCP10,NO
N12-PHOTO-009,1788939776430.jpg,68dfd5ea3689a464f7ef6dfaa9aac55d1432c7a5111223084a54060e6e5e27d6,128801,FRAME_DIAGRAM,,,,FAMILY_CLASSIFIED,NO,DG-RCP10,RC-P10,Telaio 5 — schema geometrico,HIGH,Telaio 5; nodi 1-43; campate; livelli; G5 truncation,VERIFIED,DG-RCP10,NO
N12-PHOTO-010,1788939776457.jpg,1b038dba7d985039a190e8a89fbfff3044928092b7c0d55de36894aa958717f8,152088,FRAME_DIAGRAM,DG-01,,,FAMILY_CLASSIFIED,NO,DG-RCP10,RC-P10,Telaio 5 — schema geometrico,HIGH,Telaio 5; nodi; campate; livelli; G5 truncation,VERIFIED,DG-RCP10,NO
