pillar_id,section_cm,orientation_class,evidence_status,source,note
1,40x50,40x50,DOC_DIRECT,"TAV-02S HiRes Q00","written dimensions associated with numbered symbol"
2,50x40,50x40,DOC_DIRECT,"TAV-02S HiRes Q01","written dimensions associated with numbered symbol"
3,60x40,60x40,DOC_DIRECT,"TAV-02S HiRes Q01","reread confirms 60 horizontal x 40 vertical; previous 50x40 interpretation superseded"
4,40x50,40x50,DOC_CROSS_TILE,"TAV-02S HiRes Q01 + overlap","cross-validated"
5,40x50,40x50,DOC_CROSS_TILE,"TAV-02S HiRes Q01 + overlap","cross-validated"
6,50x40,50x40,DOC_CROSS_TILE,"TAV-02S HiRes Q01 + overlap","cross-validated"
7,50x40,50x40,DOC_DIRECT,"current clean r3_c3+r4_c3","ID and written 50x40 section directly readable; pixel center cross-validated in overlap"
8,40x50,40x50,DOC_DIRECT,"current clean r4_c3","ID and written 40x50 section directly readable; pixel center remains working pending independent crosscheck"
9,40x50,40x50,DOC_DIRECT,"TAV-02S HiRes Q00","written dimensions associated with numbered symbol"
10,50x40,50x40,DOC_DIRECT,"TAV-02S HiRes Q01","written dimensions associated with numbered symbol"
11,50x40,50x40,DOC_DIRECT,"TAV-02S HiRes Q01","written dimensions associated with numbered symbol"
12,40x50,40x50,DOC_CROSS_TILE,"TAV-02S HiRes Q01 + overlap","cross-validated"
13,50x40,50x40,DOC_CROSS_TILE,"TAV-02S HiRes Q01 + overlap","section independent from coordinate binding"
14,50x40,50x40,DOC_CROSS_TILE,"TAV-02S HiRes Q01 + overlap","cross-validated"
15,50x40,50x40,DOC_CROSS_TILE,"TAV-02S_L1_R03C02 + R03C03","cross-validated"
16,50x40,50x40,DOC_DIRECT,"TAV-02S_L1_R04C02","direct persistent-tile reading"
17,50x40,50x40,DOC_DIRECT,"current clean r2_c2 + historical HiRes observation","direct current-raster reading confirms 50 horizontal x 40 vertical"
18,110x30,110x30,DOC_DIRECT,"current clean r2_c2","direct raster reading resolves the formerly ND second side: 110 horizontal x 30 vertical; preserve as extended support"
19,40x50,40x50,DOC_DIRECT,"TAV-02S HiRes + current clean r2_c2","written section and ID directly visible"
20,50x40,50x40,DOC_DIRECT,"TAV-02S HiRes + current clean r2_c2","written section and ID directly visible"
21,40x50,40x50,DOC_HIRES,"TAV-02S HiRes R03 sector","number and written section supported; persistent pixel binding to be retained separately"
22,50x40,50x40,DOC_DIRECT,"TAV-02S_L1_R03C01","direct persistent-tile reading"
22',50x40,50x40,DOC_DIRECT,"TAV-02S_L1_R03C01","distinct pillar from 22"
23,30x110,110x30,DOC_DIRECT,"TAV-02S_L1_R04C01 + TAV.7 I-03","plan orientation 110 horizontal x 30 vertical"
24,40x50,40x50,DOC_DIRECT,"TAV-02S_L1_R03C01","direct persistent-tile reading"
25,50x40,50x40,DOC_DIRECT,"TAV-02S_L1_R02C01","direct persistent-tile reading"
26,50x40,50x40,DOC_DIRECT,"TAV-02S_L1_R03C01","direct persistent-tile reading"
27,50x40,50x40,DOC_DIRECT,"TAV-02S_L1_R03C01","direct persistent-tile reading"
28,50x40,50x40,DOC_DIRECT,"TAV-02S HiRes + TAV.7 I-02","family 40x50 rotated"
29,50x40,50x40,DOC_DIRECT,"TAV-02S HiRes + TAV.7 I-02","family 40x50 rotated"
30,30x110,30x110,DOC_DIRECT,"TAV-02S_L1_R03C01 + TAV.7 I-03","long support; preserve faces"
31,50x40,50x40,DOC_DIRECT,"TAV-02S HiRes + TAV.7 I-02","family 40x50 rotated"
32,40x50,40x50,DOC_DIRECT,"TAV-02S HiRes + TAV.7 I-01","family 40x50"
33,40x50,40x50,DOC_DIRECT,"TAV-02S HiRes + TAV.7 I-01","family 40x50"
a,30x30,30x30,DOC_DIRECT,"current clean r2_c2; terrace addition","ID a and written 30x30 section directly visible in carpenteria; element remains absent from original historical calculation model"
b,30x30,30x30,DOC_DIRECT,"current clean r2_c2; terrace addition","ID b and written 30x30 section directly visible in carpenteria; element remains absent from original historical calculation model"
c,30x30,30x30,DOC_DIRECT,"current clean r2_c1; terrace addition","ID c and written 30x30 section directly visible in carpenteria; element remains absent from original historical calculation model"
d,30x30,30x30,DOC_DIRECT,"current clean r2_c1; terrace addition","ID d and written 30x30 section directly visible in carpenteria; element remains absent from original historical calculation model"
