claim_id,dataset_path,record_key,claim_type,old_value,crop_ids,observation_ids,result,new_value,validation_state,decision_note
CLM-Q01-DIM-01,data/canonical/tav02s_dimension_chains_v1.csv,top_chain_segment_1,DIMENSION,4.70,UNBOUND_Q01,OBS-Q01-001,MATCH,4.70,SUPPORTED,"quota scritta direttamente leggibile; attendere binding tile/seconda evidenza per CURRENT"
CLM-Q01-DIM-02,data/canonical/tav02s_dimension_chains_v1.csv,top_chain_segment_2,DIMENSION,5.10,UNBOUND_Q01,OBS-Q01-002,MATCH,5.10,SUPPORTED,"quota scritta direttamente leggibile"
CLM-Q01-DIM-03,data/canonical/tav02s_dimension_chains_v1.csv,top_chain_segment_3,DIMENSION,4.15,UNBOUND_Q01,OBS-Q01-003,MATCH,4.15,SUPPORTED,"quota scritta direttamente leggibile"
CLM-Q01-DIM-04,data/canonical/tav02s_dimension_chains_v1.csv,top_chain_segment_4,DIMENSION,4.15,UNBOUND_Q01,OBS-Q01-004,MATCH,4.15,SUPPORTED,"quota scritta direttamente leggibile"
CLM-Q01-ID-02,data/canonical/PT_MASTER_CURRENT.csv,2,PILLAR_ID_SECTION,,UNBOUND_Q01,"OBS-Q01-005;OBS-Q01-006",MATCH,50x40,SUPPORTED,"ID 2 e dimensioni lette direttamente; non usare ancora per coordinate"
CLM-Q01-ID-03,data/canonical/PT_MASTER_CURRENT.csv,3,PILLAR_ID_SECTION,,UNBOUND_Q01,"OBS-Q01-007;OBS-Q01-008",MATCH,60x40,SUPPORTED,"ID 3 e dimensioni lette direttamente"
CLM-Q01-ID-04,data/canonical/PT_MASTER_CURRENT.csv,4,PILLAR_ID_SECTION,,UNBOUND_Q01,"OBS-Q01-009;OBS-Q01-010",MATCH,40x50,SUPPORTED,"ID 4 e dimensioni lette direttamente"
CLM-Q01-ID-05,data/canonical/PT_MASTER_CURRENT.csv,5,PILLAR_ID_SECTION,,UNBOUND_Q01,"OBS-Q01-011;OBS-Q01-012",MATCH,40x50,SUPPORTED,"ID 5 e dimensioni lette direttamente"
CLM-Q01-ID-06,data/canonical/PT_MASTER_CURRENT.csv,6,PILLAR_ID_SECTION,,UNBOUND_Q01,"OBS-Q01-013;OBS-Q01-014",MATCH,50x40,SUPPORTED,"ID 6 e dimensioni lette direttamente"
CLM-Q01-ID-10,data/canonical/PT_MASTER_CURRENT.csv,10,PILLAR_ID_SECTION,,UNBOUND_Q01,"OBS-Q01-015;OBS-Q01-016",MATCH,50x40,SUPPORTED,"ID 10 e dimensioni lette direttamente"
CLM-Q01-ID-11,data/canonical/PT_MASTER_CURRENT.csv,11,PILLAR_ID_SECTION,,UNBOUND_Q01,"OBS-Q01-017;OBS-Q01-018",MATCH,50x40,SUPPORTED,"ID 11 e dimensioni lette direttamente"
CLM-Q01-ID-12,data/canonical/PT_MASTER_CURRENT.csv,12,PILLAR_ID_SECTION,,UNBOUND_Q01,"OBS-Q01-019;OBS-Q01-020",MATCH,40x50,SUPPORTED,"ID 12 e dimensioni lette direttamente"
CLM-Q01-ID-13,data/canonical/PT_MASTER_CURRENT.csv,13,PILLAR_ID_SECTION,,UNBOUND_Q01,"OBS-Q01-021;OBS-Q01-022",MATCH,50x40,SUPPORTED,"ID 13 e dimensioni lette direttamente; coordinate restano claim separato"
CLM-Q01-ID-14,data/canonical/PT_MASTER_CURRENT.csv,14,PILLAR_ID_SECTION,,UNBOUND_Q01,"OBS-Q01-023;OBS-Q01-024",MATCH,50x40,SUPPORTED,"ID 14 e dimensioni lette direttamente"
