schedule_id,source_id,source_group,level_scope,drawn_sequence,g2_member_ids,g3_member_ids,section_cm,component,bar_count,diameter_mm,shape_class,length_or_segments_cm,position_or_role,stirrup_spacing_cm,evidence_status,binding_status,source_locator,note
T34-G07-ST,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,STIRRUP,,6,CLOSED_RECTANGULAR,,TRANSVERSE,15,DOC,DIRECT_GROUP_BINDING,TAV034A P08,"25x70 section and Ø6/15 stirrup callout are shown at the group boundary; both G2/G3 carpenteria ledgers independently confirm 25x70 for all six mapped members."
T34-G07-L01,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,3,12,STRAIGHT,840,LONG_CONTINUOUS_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P08,"Direct 3Ø12 length 840 cm."
T34-G07-L02,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,3,12,STRAIGHT,550,LONG_CONTINUOUS_B,,DOC,DIRECT_GROUP_BINDING,TAV034A P08,"Direct 3Ø12 length 550 cm."
T34-G07-L03,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,3,12,STRAIGHT,840,LONG_CONTINUOUS_C,,DOC,DIRECT_GROUP_BINDING,TAV034A P08,"Second lower/parallel 3Ø12 length 840 cm line."
T34-G07-L04,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,3,12,STRAIGHT,550,LONG_CONTINUOUS_D,,DOC,DIRECT_GROUP_BINDING,TAV034A P08,"Second lower/parallel 3Ø12 length 550 cm line."
T34-G07-B14A,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,2,14,BENT_MULTI_SPAN,"70[55_FOR_22P-27-30-33];93_DIAG;185;DIAG_UNLABELED;130(50[40_FOR_22P-27-30-33]+80);93_DIAG",BENT_MAIN_A,,DOC_WITH_VARIANT_AND_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P08,"Source note: parenthesized dimensions belong only to 22'-27-30-33. Unlabelled rising diagonal after 185 is not inferred."
T34-G07-E14R,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,2,14,END_BENT,"93_DIAG;80",RIGHT_END_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P08,"Direct right terminal 2Ø14 piece."
T34-G07-E14L,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,2,14,END_BENT,"110[90_FOR_22P-27-30-33];93_DIAG",LEFT_END_B,,DOC_WITH_VARIANT,DIRECT_GROUP_BINDING,TAV034A P08,"Parenthesized 90 applies only to 22'-27-30-33; base value 110 applies to 19-25-28-31."
T34-G07-B14B,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,2,14,BENT_MULTI_SPAN,"93_DIAG;130(85[75_FOR_22P-27-30-33]+45);DIAG_UNLABELED;120;DIAG_UNLABELED;130(45+85);93_DIAG",BENT_MAIN_B,,DOC_WITH_VARIANT_AND_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P08,"Only the visible parenthesized 75 is attached to the first 85 segment; two connecting diagonals are drawn without independent dimensions."
T34-G07-E14R2,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,2,14,END_BENT,"93_DIAG;120",RIGHT_END_B,,DOC,DIRECT_GROUP_BINDING,TAV034A P08,"Direct right terminal 2Ø14 piece."
T34-G07-B12A,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,2,12,BENT,"93_DIAG;230(120[100_FOR_22P-27-30-33]+110);DIAG_UNLABELED",INTERNAL_BENT_A,,DOC_WITH_VARIANT_AND_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P08,"Parenthesized 100 replaces the first 120 only for 22'-27-30-33; opposite descending diagonal is unlabelled."
T34-G07-B12B,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,2,12,BENT,"DIAG_UNLABELED;230(110+120);93_DIAG",INTERNAL_BENT_B,,DOC_WITH_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P08,"Direct second 2Ø12 central bent piece; left rise has no separate readable dimension."
T34-G07-S12A,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,2,12,STRAIGHT,170,LEFT_LOCAL,,DOC,DIRECT_GROUP_BINDING,TAV034A P08,"Direct source 2Ø12 length 170 cm."
T34-G07-S12B,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,2,12,STRAIGHT,"100;100;TOTAL_200",INTERNAL_LOCAL_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P08,"Direct source 2Ø12 with 100+100=200 cm."
T34-G07-S12C,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,2,12,STRAIGHT,"100;100;TOTAL_200",INTERNAL_LOCAL_B,,DOC,DIRECT_GROUP_BINDING,TAV034A P08,"Second direct 2Ø12 with 100+100=200 cm."
T34-G07-S12D,TAV-034A,T34-G07,G2+G3,"19-25-28-31 | 22'-27-30-33",G2-B030;G2-B039;G2-B044;G2-B036;G2-B041;G2-B046,G3-B030;G3-B039;G3-B044;G3-B036;G3-B041;G3-B046,25x70,LONGITUDINAL,2,12,STRAIGHT,200,RIGHT_LOCAL,,DOC,DIRECT_GROUP_BINDING,TAV034A P08,"Direct source 2Ø12 length 200 cm."
T34-G01-ST,TAV-034A,T34-G01,G2+G3,"4-3-2-1 | 5-6-7-8",G2-B003;G2-B002;G2-B001;G2-B005;G2-B006;G2-B007,G3-B003;G3-B002;G3-B001;G3-B005;G3-B006;G3-B007,25x70,STIRRUP,,6,CLOSED_RECTANGULAR,,TRANSVERSE,15,DOC,DIRECT_GROUP_BINDING,TAV034A P02,"Direct 25x70 section sketch with staffe Ø6/15 at the G01 boundary; carpenteria G2/G3 confirms the same section."
T34-G01-L01,TAV-034A,T34-G01,G2+G3,"4-3-2-1 | 5-6-7-8",G2-B003;G2-B002;G2-B001;G2-B005;G2-B006;G2-B007,G3-B003;G3-B002;G3-B001;G3-B005;G3-B006;G3-B007,25x70,LONGITUDINAL,3,12,STRAIGHT,1030,LONG_CONTINUOUS_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P01-P02,"Direct 3Ø12 length 1030 cm."
T34-G01-L02,TAV-034A,T34-G01,G2+G3,"4-3-2-1 | 5-6-7-8",G2-B003;G2-B002;G2-B001;G2-B005;G2-B006;G2-B007,G3-B003;G3-B002;G3-B001;G3-B005;G3-B006;G3-B007,25x70,LONGITUDINAL,3,12,STRAIGHT,560,LONG_CONTINUOUS_B,,DOC,DIRECT_GROUP_BINDING,TAV034A P02,"Direct second 3Ø12 length 560 cm line."
