member_id,support_sequence_or_pair,section_cm,length_m,residual_class,nearest_source_context,evidence_state,binding_decision,numeric_reinforcement_status,note
G5-B003,4-5,30x50,1.5000,TRANSVERSE_CROSSLINK_BETWEEN_HOMOLOGOUS_T6A_G04_RUNS,T6A-G04,RIF_USER_QUALIFIED_CROSSCHECKED,DO_NOT_ABSORB_INTO_PAIRED_RUN,ND,"T6A-G04 directly represents 5-6-7 and 4-3-2 with stacked homologous labels. Under the confirmed notation semantics, 4-5 is a physical transverse cross-link, not part of the longitudinal schedule."
G5-B008,5-13,30x50,4.5722,HOMOLOGOUS_ROOF_RUN_CANDIDATE_WITH_OFFSET,T6A-G01,INF_CANDIDATE_NOT_BOUND,KEEP_RESIDUAL,ND,"Together with B020 this forms 5-13-21, adjacent to T6A-G01 sequences 6-14-22 and 7-15-23. Section matches, but B008 is an OFFSET_POLYLINE and the source does not label 5-13-21; no armature transfer."
G5-B011,10-11,50x65,4.7000,DISTINCT_SECTION_TRANSVERSE_BEAM,NO_50x65_TAV06A_GROUP,DOC_SECTION_PLUS_SOURCE_GAP,KEEP_RESIDUAL,ND,"M1-S gives 50x65, while all indexed TAV-06A ordinary roof schedules are 30x50. No section-compatible authored schedule exists."
G5-B012,11-12,50x65,2.8725,DISTINCT_SECTION_TRANSVERSE_BEAM,NO_50x65_TAV06A_GROUP,DOC_SECTION_PLUS_SOURCE_GAP,KEEP_RESIDUAL,ND,"Same 50x65 special family as B011; no TAV-06A 50x65 reinforcement schedule is currently indexed."
G5-B017,12-19,30x50,5.8406,IMPLUVIO_SPECIAL_UNBOUND,T6A-G03,DOC_TOPOLOGY_PLUS_SUPPORTED_ROLE,KEEP_RESIDUAL,ND,"T6A-G03 is a DOC unlabelled inclined cantilevered scheme but is not a direct topology match to support-to-support B017. Existing no-bind decision remains frozen."
G5-B018,18-19,30x50,3.8677,CENTRAL_EDGE_CONNECTOR_WITH_OFFSET,T6A-G01_END_ZONE,DOC_TOPOLOGY_PLUS_MIS_SECTION,KEEP_RESIDUAL,ND,"Offset member at the 18-19 central/eave junction; not one of the T6A-G01 longitudinal roof-pitch sequences."
G5-B019,19-20,30x50,0.4500,SHORT_RIGID_ZONE_ADJACENT_CONNECTOR,T6A-G01_END_ZONE,DOC_TOPOLOGY_PLUS_MIS_SECTION,KEEP_RESIDUAL,ND,"Very short 0.45 m member adjacent to the registered triangular rigid-zone/intersection context; no ordinary TAV-06A schedule is transferred."
G5-B020,13-21,30x50,5.6000,HOMOLOGOUS_ROOF_RUN_CANDIDATE,T6A-G01,INF_CANDIDATE_NOT_BOUND,KEEP_RESIDUAL,ND,"With B008 forms candidate sequence 5-13-21. B020 is close in span to 14-22 and 15-23, but the source omits the sequence and B008 has offset geometry; candidate remains unbound."
G5-B023,19-25,30x50,3.7818,INTER_WING_CONNECTOR,T6A-G02_G06_JUNCTION,DOC_TOPOLOGY_PLUS_MIS_SECTION,KEEP_RESIDUAL,ND,"Unique connector between the central 19 node and lower roof subsystem at 25. Neither T6A-G02 19-26 nor recovered G06 25-26-27/28-29-30 directly represents it."
G5-B024,21-22,30x50,2.5000,EDGE_LINE_CANDIDATE_WITH_EXTRA_SUPPORT,T6A-G05,INF_CANDIDATE_NOT_BOUND,KEEP_RESIDUAL,ND,"Part of 21-22-22'-23. Geometrically related to the 13-14-15 transverse line through rafter correspondences, but T6A-G05 labels only 13-14-15 and the 22' support changes topology."
