qa_id,scope,count,status,metric_or_check,watch_items,reject_items,source_artifacts,note
G9-001,PHYSICAL_SUPPORT_CENTERS,38,PASS_WITH_WATCHES,affine raster residual RMS=9.792 px median=6.621 px max=24.014 px,P19|P25|d,,PT_METRIC_SUPPORT_CENTERS_v1.csv|PT_METRIC_NETWORK_RESIDUALS_v1.csv,Raster residuals diagnose scan deformation; documentary/support coordinates are not moved to hide residuals.
G9-002,PHYSICAL_SUPPORT_FOOTPRINTS,38,PASS,all support rectangles have documented section/orientation and explicit faces,,,PT_VECTOR_SUPPORTS_v1.csv|PT_PHYSICAL_SUPPORT_GEOMETRY_AUDIT_v1.csv,P18 P23 P30 remain extended physical supports rather than point nodes.
G9-003,EFFECTIVE_BEAM_TOPOLOGY,51,PASS,51/51 topology-face QA PASS,,0,PT_VECTOR_BEAMS_v2.csv|PT_VECTOR_BEAMS_G6_PATCH_v1.csv|PT_VECTOR_BEAMS_RASTER_QA_v1.csv,B-053/B-054 added by formal local reopen; zero topology rejects.
G9-004,BEAM_METRIC_OVERLAY,51,PASS_WITH_WATCHES,34 plain PASS; 17 provenance/MIS WATCH,17,0,PT_VECTOR_BEAMS_RASTER_QA_v1.csv|PT_RASTER_TO_METRIC_DIAGNOSTIC_v1.csv,No beam WATCH represents an unresolved topology conflict.
G9-005,ANALYTICAL_FACE_NODES,102,PASS_WITH_WATCHES,102/102 points lie on support boundaries; 36 inherit MIS/WATCH provenance,36,0,PT_ANALYTICAL_NODES_v1.csv|PT_ANALYTICAL_NODES_AUDIT_v1.csv,No support centroid is substituted for a beam-face attachment.
G9-006,EXTENDED_SUPPORT_P18,3,PASS,three distinct P18 face incidences including B-053,,0,PT_ANALYTICAL_NODES_v1.csv,P18 110x30 preserves physical faces.
G9-007,EXTENDED_SUPPORT_P23,3,PASS,three distinct P23 face incidences including B-054,,0,PT_ANALYTICAL_NODES_v1.csv,P23 110x30 preserves beam-face semantics.
G9-008,EXTENDED_SUPPORT_P30,3,PASS,three distinct attachment nodes including two different row elevations,,0,PT_ANALYTICAL_NODES_v1.csv,P30 30x110 is not reduced to one analytical point.
G9-009,OLD_MASTER_AUTHORITY,1,PASS,historical PT_MASTER_CURRENT excluded from G1-G9 geometric inputs,,0,knowledge/CURRENT_STATE.json|knowledge/KNOWLEDGE_MANIFEST.json,Historical Master may now be regenerated only from validated G1-G9 outputs.
G9-010,FINAL_OVERLAY_GATE,1,PASS_WITH_PROVENANCE_WATCHES,zero topology rejects after B-053/B-054 local reopen,20,0,G3+G6+G7+G9 audits,Formal smallest-claim reopen revalidated; provenance preserved.
