qa_id,scope,count,status,metric_or_check,watch_items,reject_items,source_artifacts,note
G9-001,PHYSICAL_SUPPORT_CENTERS,38,PASS_WITH_WATCHES,"affine raster residual RMS=9.792 px median=6.621 px max=24.014 px","P19|P25|d",,"PT_METRIC_SUPPORT_CENTERS_v1.csv|PT_METRIC_NETWORK_RESIDUALS_v1.csv","Raster residuals diagnose scan deformation; documentary/support coordinates are not moved to hide residuals."
G9-002,PHYSICAL_SUPPORT_FOOTPRINTS,38,PASS,"all support rectangles have documented section/orientation and explicit faces",,,"PT_VECTOR_SUPPORTS_v1.csv|PT_PHYSICAL_SUPPORT_GEOMETRY_AUDIT_v1.csv","P18 P23 P30 remain extended physical supports rather than point nodes."
G9-003,EFFECTIVE_BEAM_TOPOLOGY,49,PASS,"49/49 topology-face QA PASS",,0,"PT_VECTOR_BEAMS_v2.csv|PT_VECTOR_BEAMS_G6_PATCH_v1.csv|PT_VECTOR_BEAMS_RASTER_QA_v1.csv","B-029 and B-044 revoked; B-037 duplicate suppressed; B-052 added."
G9-004,BEAM_METRIC_OVERLAY,49,PASS_WITH_WATCHES,"34 plain PASS; 15 provenance/MIS WATCH",15,0,"PT_VECTOR_BEAMS_RASTER_QA_v1.csv|PT_RASTER_TO_METRIC_DIAGNOSTIC_v1.csv","No beam WATCH represents an unresolved topology conflict."
G9-005,ANALYTICAL_FACE_NODES,98,PASS_WITH_WATCHES,"98/98 points lie on support boundaries; 32 inherit MIS/WATCH provenance",32,0,"PT_ANALYTICAL_NODES_v1.csv|PT_ANALYTICAL_NODES_AUDIT_v1.csv","No support centroid is substituted for a beam-face attachment."
G9-006,EXTENDED_SUPPORT_P18,2,PASS,"two distinct beam-face nodes on opposite faces",,0,"PT_ANALYTICAL_NODES_v1.csv","P18 110x30 preserves physical faces."
G9-007,EXTENDED_SUPPORT_P23,2,PASS,"two distinct face attachments for horizontal/vertical members",,0,"PT_ANALYTICAL_NODES_v1.csv","P23 110x30 preserves beam-face semantics."
G9-008,EXTENDED_SUPPORT_P30,3,PASS,"three distinct attachment nodes including two different row elevations",,0,"PT_ANALYTICAL_NODES_v1.csv","P30 30x110 is not reduced to one analytical point."
G9-009,OLD_MASTER_AUTHORITY,1,PASS,"historical PT_MASTER_CURRENT excluded from G1-G9 geometric inputs",,0,"knowledge/CURRENT_STATE.json|knowledge/KNOWLEDGE_MANIFEST.json","Historical Master may now be regenerated only from validated G1-G9 outputs."
G9-010,FINAL_OVERLAY_GATE,1,PASS_WITH_PROVENANCE_WATCHES,"zero topology rejects; all geometry classes reproducibly traced",18,0,"G3+G6+G7+G9 audits","Geometry is eligible for Master regeneration with evidence/WATCH fields preserved; no WATCH may be silently upgraded to DOC."
