schedule_id,source_id,source_group,drawn_sequence,canonical_member_ids,section_cm,component,bar_count,diameter_mm,shape_class,length_or_segments_cm,position_or_role,stirrup_spacing_cm,evidence_status,binding_status,source_locator,note
T2A-G05-ST,TAV-02A,T2A-G05,21-26-29-32,B-019;B-018;B-017,120x20,STIRRUP,,8,CLOSED_RECTANGULAR,,TRANSVERSE,15,DOC,DIRECT_GROUP_BINDING,TAV02A P07 top,"Source section sketch reads 120x20 and staffe Ø8/15; group-level transcription preserves continuous-beam semantics."
T2A-G05-L01,TAV-02A,T2A-G05,21-26-29-32,B-019;B-018;B-017,120x20,LONGITUDINAL,2,14,STRAIGHT,870,LONG_CONTINUOUS_A,,DOC,DIRECT_GROUP_BINDING,TAV02A P07,"Direct source length 870 cm; exact top/bottom solver layer assignment deferred to member projection."
T2A-G05-L02,TAV-02A,T2A-G05,21-26-29-32,B-019;B-018;B-017,120x20,LONGITUDINAL,5,16,STRAIGHT,280,LEFT_LOCAL_A,,DOC,DIRECT_GROUP_BINDING,TAV02A P07,"Direct source label 5Ø16 and 280 cm."
T2A-G05-L03,TAV-02A,T2A-G05,21-26-29-32,B-019;B-018;B-017,120x20,LONGITUDINAL,6,16,STRAIGHT,280,LEFT_LOCAL_B,,DOC,DIRECT_GROUP_BINDING,TAV02A P07,"Direct source label 6Ø16 and 280 cm."
T2A-G05-L04,TAV-02A,T2A-G05,21-26-29-32,B-019;B-018;B-017,120x20,LONGITUDINAL,6,16,STRAIGHT,150,LEFT_LOCAL_C,,DOC,DIRECT_GROUP_BINDING,TAV02A P07,"Direct source label 6Ø16 and 150 cm."
T2A-G05-L05,TAV-02A,T2A-G05,21-26-29-32,B-019;B-018;B-017,120x20,LONGITUDINAL,2,12,STRAIGHT,130,LEFT_LOCAL_D,,DOC,DIRECT_GROUP_BINDING,TAV02A P07,"Direct source label 2Ø12 and 130 cm."
T2A-G05-L06,TAV-02A,T2A-G05,21-26-29-32,B-019;B-018;B-017,120x20,LONGITUDINAL,2,14,STRAIGHT,"135;135;TOTAL_270",CENTRAL_LOCAL_A,,DOC,DIRECT_GROUP_BINDING,TAV02A P07,"Source explicitly gives 135+135=270."
T2A-G05-L07,TAV-02A,T2A-G05,21-26-29-32,B-019;B-018;B-017,120x20,LONGITUDINAL,2,14,STRAIGHT,"150;150;TOTAL_300",CENTRAL_LOCAL_B,,DOC,DIRECT_GROUP_BINDING,TAV02A P07,"Source explicitly gives 150+150=300."
T2A-G05-L08,TAV-02A,T2A-G05,21-26-29-32,B-019;B-018;B-017,120x20,LONGITUDINAL,2,14,STRAIGHT,870,LONG_CONTINUOUS_B,,DOC,DIRECT_GROUP_BINDING,TAV02A P07,"Second direct 2Ø14 length 870 cm line; layer assignment deferred."
T2A-G06-ST,TAV-02A,T2A-G06,19-25-28-31,B-016;B-015;B-014,25x70,STIRRUP,,6,CLOSED_RECTANGULAR,,TRANSVERSE,15,DOC,DIRECT_GROUP_BINDING,TAV02A P08 top,"Source section sketch reads 25x70 and staffe Ø6/15."
T2A-G06-L01,TAV-02A,T2A-G06,19-25-28-31,B-016;B-015;B-014,25x70,LONGITUDINAL,2,14,STRAIGHT,850,LONG_CONTINUOUS_A,,DOC,DIRECT_GROUP_BINDING,TAV02A P08,"Direct source 2Ø14 length 850 cm."
T2A-G06-L02,TAV-02A,T2A-G06,19-25-28-31,B-016;B-015;B-014,25x70,LONGITUDINAL,2,14,STRAIGHT,560,LONG_CONTINUOUS_B,,DOC,DIRECT_GROUP_BINDING,TAV02A P08,"Direct source 2Ø14 length 560 cm."
T2A-G06-B01,TAV-02A,T2A-G06,19-25-28-31,B-016;B-015;B-014,25x70,LONGITUDINAL,2,14,BENT,"80;93_DIAG;170;50+80=130;93_DIAG",BENT_LEFT_MAIN,,DOC,DIRECT_GROUP_BINDING,TAV02A P08,"Segments transcribed as drawn; no redistribution to individual spans yet."
T2A-G06-B02,TAV-02A,T2A-G06,19-25-28-31,B-016;B-015;B-014,25x70,LONGITUDINAL,2,14,BENT,"93_DIAG;80+55=135;93_DIAG;220;93_DIAG;85",BENT_RIGHT_MAIN,,DOC,DIRECT_GROUP_BINDING,TAV02A P08,"Segments transcribed as drawn."
T2A-G06-E01,TAV-02A,T2A-G06,19-25-28-31,B-016;B-015;B-014,25x70,LONGITUDINAL,2,14,END_BENT,"125;93_DIAG",LEFT_END,,DOC,DIRECT_GROUP_BINDING,TAV02A P08,"Direct terminal bent piece."
T2A-G06-E02,TAV-02A,T2A-G06,19-25-28-31,B-016;B-015;B-014,25x70,LONGITUDINAL,2,14,END_BENT,"93_DIAG;130",RIGHT_END,,DOC,DIRECT_GROUP_BINDING,TAV02A P08,"Direct terminal bent piece."
T2A-G06-S01,TAV-02A,T2A-G06,19-25-28-31,B-016;B-015;B-014,25x70,LONGITUDINAL,2,14,STRAIGHT,200,LEFT_END_STRAIGHT,,DOC,DIRECT_GROUP_BINDING,TAV02A P08,"Direct source length 200 cm."
T2A-G06-S02,TAV-02A,T2A-G06,19-25-28-31,B-016;B-015;B-014,25x70,LONGITUDINAL,2,14,STRAIGHT,200,RIGHT_END_STRAIGHT,,DOC,DIRECT_GROUP_BINDING,TAV02A P08,"Direct source length 200 cm."
