schedule_id,source_id,source_group,level_scope,drawn_sequence,g2_member_ids,g3_member_ids,section_cm,component,bar_count,diameter_mm,shape_class,length_or_segments_cm,position_or_role,stirrup_spacing_cm,evidence_status,binding_status,source_locator,note
T34-G06-ST,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,STIRRUP,,8,CLOSED_RECTANGULAR,,TRANSVERSE,15,DOC,DIRECT_GROUP_BINDING,TAV034A P07,"Section sketch reads 140x20 and staffe Ø8/15; same source detail applies to II and III impalcato per cartiglio."
T34-G06-L01,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,LONGITUDINAL,6,14,STRAIGHT,1060,LONG_CONTINUOUS_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P07,"Direct source 6Ø14 length 1060 cm."
T34-G06-L02,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,LONGITUDINAL,6,14,STRAIGHT,1060,LONG_CONTINUOUS_B,,DOC,DIRECT_GROUP_BINDING,TAV034A P07,"Second direct 6Ø14 length 1060 cm line; exact solver layer projection deferred."
T34-G06-B16A,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,LONGITUDINAL,2,16,BENT_MULTI_SPAN,"50;23_DIAG;90;DIAG_UNLABELED;110(50+60);23_DIAG;23_DIAG;110(60+50);DIAG_UNLABELED;340;23_DIAG;60",BENT_MAIN_A,,DOC_WITH_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P07,"Left-to-right transcription of written dimensions only; two connecting diagonals are drawn but unlabelled and are not assigned 23 by symmetry."
T34-G06-B16B,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,LONGITUDINAL,2,16,BENT_MULTI_SPAN,"80;23_DIAG;DIAG_UNLABELED;110(70+40);23_DIAG;250;DIAG_UNLABELED;110(40+70);23_DIAG;23_DIAG;80",BENT_MAIN_B,,DOC_WITH_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P07,"Only explicit dimensions are encoded; unlabelled rises are preserved as readability watches."
T34-G06-B16C,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,LONGITUDINAL,3,16,END_BENT,"100;23_DIAG",LEFT_END_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P07,"Direct left terminal 3Ø16 piece."
T34-G06-B16D,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,LONGITUDINAL,3,16,BENT,"23_DIAG;170(80+90);23_DIAG",INTERNAL_BENT_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P07,"Direct central 3Ø16 bent piece, total horizontal plateau 170 cm."
T34-G06-B16E,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,LONGITUDINAL,3,16,END_BENT,"23_DIAG;100",RIGHT_END_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P07,"Direct right terminal 3Ø16 piece."
T34-G06-S16A,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,LONGITUDINAL,5,16,STRAIGHT,100,LEFT_LOCAL,,DOC,DIRECT_GROUP_BINDING,TAV034A P07,"Direct source 5Ø16 length 100 cm."
T34-G06-S16B,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,LONGITUDINAL,5,16,STRAIGHT,"100;100;TOTAL_200",INTERNAL_LOCAL_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P07,"Direct source 5Ø16 with 100+100=200 cm."
T34-G06-S16C,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,LONGITUDINAL,5,16,STRAIGHT,"100;100;TOTAL_200",INTERNAL_LOCAL_B,,DOC,DIRECT_GROUP_BINDING,TAV034A P07,"Second direct 5Ø16 with 100+100=200 cm."
T34-G06-S16D,TAV-034A,T34-G06,G2+G3,21-26-29-32,G2-B035;G2-B040;G2-B045,G3-B035;G3-B040;G3-B045,140x20,LONGITUDINAL,5,16,STRAIGHT,150,RIGHT_LOCAL,,DOC,DIRECT_GROUP_BINDING,TAV034A P07,"Direct source 5Ø16 length 150 cm."
