candidate_id,area_px,bbox_norm_page_g4_frame,review_status,structural_disposition,evidence,notes
ETW2-G34-CAND-420,51375,"0.651386/0.295309/0.906647/0.340085",REVIEWED,GEOMETRY_CHANGE,"registered G4/G3 crop; DOC_RASTER","Upper perimeter: G3 has orthogonal beam return and projecting polygonal perimeter; G4 has straight 25x70 perimeter beam"
ETW2-G34-CAND-536,23227,"0.613618/0.356925/0.732340/0.368259",REVIEWED,SECTION_CHANGE,"registered G4/G3 crop; DOC_RASTER","Homologous wide beam 140 cm in G3 versus 120 cm in G4"
ETW2-G34-CAND-551,22810,"0.826691/0.361475/0.873154/0.385419",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Both drawings show same 25x70 edge beam configuration; raster difference attributable to registration/scan variation"
ETW2-G34-CAND-556,82298,"0.644688/0.368658/0.926600/0.464753",REVIEWED,GEOMETRY_CHANGE_PLUS_SECTION_CHANGE,"registered G4/G3 crop; DOC_RASTER","G3 shows right-side extension with visible 150 dimension and a 140 cm wide beam; G4 lacks extension and homologous beam reads 120 cm"
ETW2-G34-CAND-738,37588,"0.694429/0.489096/0.878285/0.520303",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Central member geometry and 50x20 annotation substantially coincide; no structural change promoted"
ETW2-G34-CAND-781,25177,"0.824838/0.509209/0.920757/0.572661",REVIEWED,GEOMETRY_CHANGE,"registered G4/G3 crop; DOC_RASTER","Distinct lower right-side outward beam extension and polygonal perimeter present in G3, absent in G4"
ETW2-G34-CAND-034,22211,"0.456129/0.041902/0.488909/0.103917",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Difference dominated by sheet text/scan deformation; no structural member change visible"
ETW2-G34-CAND-969,21844,"0.755429/0.593492/0.907787/0.627014",REVIEWED,GEOMETRY_CHANGE,"registered G4/G3 crop; DOC_RASTER","Registered column pair provides anchor; surrounding beam/slab perimeter continuation differs materially between G3 and G4"
ETW2-G34-CAND-857,15628,"0.465250/0.538181/0.551477/0.552947",REVIEWED,SECTION_CHANGE,"registered G4/G3 crop; DOC_RASTER","Inclined homologous beam reads 140 in G3 and 120 in G4"
ETW2-G34-CAND-905,14090,"0.660508/0.562525/0.687160/0.578487",REVIEWED,SECTION_CHANGE,"registered G4/G3 crop; DOC_RASTER","Registered rectangular vertical-element symbol: one external dimension 50 in G3 and 45 in G4; orthogonal dimension 30 readable on both"
ETW2-G34-CAND-827,12427,"0.475654/0.523895/0.550479/0.546402",REVIEWED,DUPLICATE_OF_CONFIRMED,"registered G4/G3 crop","Same 140→120 inclined-beam finding already represented by CAND-857; not counted as a new structural difference"
ETW2-G34-CAND-768,12289,"0.663643/0.502026/0.684452/0.518308",REVIEWED,SECTION_CHANGE,"registered G4/G3 crop; DOC_RASTER","Second vertical-element symbol: 50→45 with orthogonal dimension 30 unchanged"
ETW2-G34-CAND-618,11560,"0.661933/0.407926/0.685450/0.421654",REVIEWED,SECTION_CHANGE,"registered G4/G3 crop; DOC_RASTER","Third vertical-element symbol: 50→45 with orthogonal dimension 30 unchanged"
ETW2-G34-CAND-218,6786,"0.459977/0.152284/0.473944/0.172636",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Raster component follows scan/fold feature rather than a structural element"
ETW2-G34-CAND-374,4761,"0.514136/0.243910/0.583830/0.245745",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Thin coincident line; difference is subpixel registration/scan contrast"
ETW2-G34-CAND-548,4040,"0.524683/0.360677/0.535799/0.379752",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Both drawings show the same 20 dimension; raster response caused by stroke/registration variation"
ETW2-G34-CAND-684,3410,"0.552760/0.444959/0.564589/0.461960",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Both drawings show the same 20 dimension and coincident member; no structural change"
ETW2-G34-CAND-1044,3880,"0.517984/0.630925/0.600220/0.632361",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Thin lower-border raster response dominated by scan/fold variation; no structural change promoted"
ETW2-G34-CAND-091,3707,"0.460974/0.071034/0.469526/0.081968",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Sheet text/scan response only"
ETW2-G34-CAND-553,3700,"0.813151/0.361874/0.823555/0.378954",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Same 20 annotation and member geometry on both sheets"
ETW2-G34-CAND-681,3498,"0.812438/0.444082/0.823270/0.462119",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Same 20 annotation and member geometry on both sheets"
ETW2-G34-CAND-635,3493,"0.693573/0.417903/0.743742/0.430114",REVIEWED,UNRESOLVED_READING,"registered G4/G3 crop","Potential repeated vertical-element section change, but G4 external dimension is not sufficiently legible for promotion"
ETW2-G34-CAND-060,3167,"0.460404/0.056189/0.469811/0.065048",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Sheet text/scan response only"
ETW2-G34-CAND-849,3095,"0.812866/0.534590/0.824410/0.556858",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Same 20 annotation/member family; no structural change confirmed"
ETW2-G34-CAND-641,2823,"0.578842/0.421415/0.595802/0.427640",REVIEWED,UNRESOLVED_ANNOTATION,"registered G4/G3 crop","Geometry coincides; G3 shows 50x20 annotation while corresponding G4 50 label is not visible in this crop. No property change promoted"
ETW2-G34-CAND-1023,2551,"0.623594/0.625577/0.668062/0.635873",REVIEWED,SECTION_CHANGE,"registered G4/G3 crop; DOC_RASTER","Lower-region homologous beam reads 140 in G3 and 120 in G4"
ETW2-G34-CAND-1015,2439,"0.844079/0.622544/0.891967/0.631962",REVIEWED,GEOMETRY_CHANGE,"registered G4/G3 crop; DOC_RASTER","Lower-right perimeter continuation differs materially between registered sheets"
ETW2-G34-CAND-1030,2096,"0.752293/0.629009/0.804742/0.631324",REVIEWED,GEOMETRY_CHANGE,"registered G4/G3 crop; DOC_RASTER","G3 has orthogonal 25-wide return; G4 homologous location lacks that return"
ETW2-G34-CAND-469,2021,"0.766403/0.328911/0.785929/0.334977",REVIEWED,GEOMETRY_CHANGE,"registered G4/G3 crop; DOC_RASTER","G3 has L-shaped return at local 25-deep/70-wide segment; G4 is rectilinear without return"
ETW2-G34-CAND-823,1830,"0.582547/0.522299/0.598793/0.526608",REVIEWED,MATCH_FALSE_POSITIVE,"registered G4/G3 crop","Member geometry and 20 annotation substantially coincide; no structural change"
