edge_id,roof_branch,node_i,node_j,edge_class,source,evidence_state,confidence,section_status,topology_status,notes
G5-E001,WING-A,P02,P03,SUPPORT_LINE,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"TAV-06A straight-beam group P04-P03-P02 confirms segment and section."
G5-E002,WING-A,P03,P04,SUPPORT_LINE,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"TAV-06A straight-beam group P04-P03-P02 confirms segment and section."
G5-E003,WING-A,P02,P10,ROOF_FRAME_MEMBER,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"TAV-06A pitched-roof path P02-P10-P18."
G5-E004,WING-A,P10,P11,RIDGE_BEAM,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,ND,VERIFIED,"HiRes reaudit resolves the previously skipped P11. Segment lies on the WING-A ridge-support chain P10-P11-P12; no pointwise longitudinal section callout promoted."
G5-E005,WING-A,P11,P12,RIDGE_BEAM,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,ND,VERIFIED,"Replaces the false P12-P13 member. TAV-06S line-of-ridge geometry and TAV-06A ridge-support semantics close P10-P11-P12 as the WING-A ridge beam chain."
G5-E006,WING-A,P10,P18,ROOF_FRAME_MEMBER,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"TAV-06A pitched-roof path P02-P10-P18."
G5-E007,WING-A,P12,P19,ROOF_FRAME_MEMBER,TAV-06S,DOC_RASTER,HIGH,ND,VERIFIED_HIRES,"Diagonal pitched-member continuation visible directly on TAV-06S; P12-P13 direct edge is SUPERSEDED."
G5-E008,WING-A,P18,P19,SUPPORT_LINE,TAV-06S,DOC_RASTER,HIGH,ND,VERIFIED_VISUAL,"Lower support segment."
G5-E009,WING-B,P05,P06,SUPPORT_LINE,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"TAV-06A straight-beam group P05-P06-P07."
G5-E010,WING-B,P06,P07,SUPPORT_LINE,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"TAV-06A straight-beam group P05-P06-P07."
G5-E011,WING-B,P05,P13,SUPPORT_LINE,TAV-06S,DOC_RASTER,HIGH,ND,VERIFIED_VISUAL,"Continuous vertical support line."
G5-E012,WING-B,P06,P14,ROOF_FRAME_MEMBER,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"TAV-06A pitched-roof path P22-P14-P06."
G5-E013,WING-B,P07,P15,ROOF_FRAME_MEMBER,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"TAV-06A pitched-roof path P23-P15-P07."
G5-E014,WING-B,P13,P14,RIDGE_BEAM,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"TAV-06A B10 documents the straight P13-P14-P15 member 30x50 phi6/20; TAV-06S line-of-ridge geometry identifies it as the longitudinal ridge beam."
G5-E015,WING-B,P14,P15,RIDGE_BEAM,TAV-06S+TAV-06A,DOC_RASTER+DOC,HIGH,30x50_DOC_T06A,VERIFIED,"Continuation of the documentary WING-B ridge beam P13-P14-P15."
G5-E016,WING-B,P13,P24,SUPPORT_LINE,TAV-06S,DOC_RASTER,MEDIUM,ND,VERIFIED_VISUAL,"Visible continuation to lower/shared row; P24 confirmed present by verified support inventory."
